  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01  0.0000E+00 -0.4000E+01  0.0000E+00  0.4000E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01  0.0000E+00 -0.1236E+01  0.0000E+00  0.1236E+01
  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01  0.0000E+00  0.3236E+01  0.0000E+00 -0.3236E+01
